IDv4	IDv3	PosV3	PosV4	Symbol	Cloned	GeneName	Functional description
Zm00001d009353	GRMZM2G359956	8:56994368-56998709	8:58247107-58248980	-		-	Putative ARF GTPase activating domain protein with ankyrin repeat-containing protein
Zm00001d009354	GRMZM2G060481	8:57039567-57041719	8:58290009-58291469	-		-	3-ketoacyl-CoA synthase
Zm00001d009356	NA	NA	8:58800530-58801139	-		-	Quinoprotein amine dehydrogenase beta chain-like; RIC1-like guanyl-nucleotide exchange factor
Zm00001d009359	GRMZM2G053574	8:58054834-58057686	8:59319117-59322412	-		-	Ubiquitin fusion degradation UFD1 family protein
Zm00001d009361	NA	NA	8:59481866-59485489	-		-	E3 ubiquitin-protein ligase SIS3
Zm00001d009362	GRMZM2G056524	8:58215356-58249309	8:59513338-59517339	-		-	E3 ubiquitin-protein ligase SIS3
Zm00001d009363	NA	NA	8:59529737-59532754	-		-	LL-diaminopimelate aminotransferase chloroplastic
Zm00001d009364	GRMZM2G469012	8:58692644-58693724	8:59920671-59939759	-		-	Protein kinase and PP2C-like domain-containing protein
Zm00001d009365	GRMZM2G324903	8:58837906-58840227	8:60083986-60086634	 sweet2		sugars will eventually be exported transporter2	-
Zm00001d009371	GRMZM2G317878	8:59220667-59222022	8:60469182-60473368	-		-	Helicase
Zm00001d009372	NA	NA	8:60515209-60518305	-		-	WAT1-related protein
Zm00001d009373	GRMZM2G023840	8:59488470-59491016	8:60723769-60726263	-		-	Peroxidase 72
Zm00001d009374	GRMZM2G327032	8:59543203-59548880	8:60778336-60784086	-		-	DNA replication licensing factor MCM4
Zm00001d009376	GRMZM2G583971	8:59744866-59748207	8:60979726-60982538	-		-	Putative lysM-domain protein kinase family protein
Zm00001d009382	GRMZM2G050607	8:60147871-60148685	8:61383785-61384243	-		-	Late embryogeneis abundant protein Lea14-A%3B Late embryogenesis abundant protein Lea14-A
Zm00001d009383	NA	NA	8:61549700-61552828	-		-	Long chain base biosynthesis protein 1
Zm00001d009385	GRMZM2G382918	8:60333820-60334986	8:61599657-61604192	-		-	Putative IQ calmodulin-binding and BAG domain containing family protein
Zm00001d009387	GRMZM2G122344	8:60391980-60393469	8:61645805-61646767	-		-	Pentatricopeptide repeat-containing protein
Zm00001d009390	NA	NA	8:61812843-61814957	-		-	Retrotransposon-like protein
Zm00001d009391	GRMZM2G167422	8:60546370-60548241	8:61818189-61819910	-		-	Pentatricopeptide repeat-containing protein
Zm00001d009392	NA	NA	8:62052783-62053903	-		-	DNA replication licensing factor MCM3
Zm00001d009393	AC190225.2_FG001	8:60844539-60846289	8:62096021-62097864	-		-	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5
Zm00001d009395	NA	NA	8:62174756-62175348	-		-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Zm00001d009396	NA	NA	8:62195436-62201240	-		JUMONJI-transcription factor 1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Zm00001d009397	GRMZM2G164419	8:61034911-61039286	8:62299593-62300146	-		-	Vacuolar cation/proton exchanger 3
Zm00001d009398	GRMZM2G047613	8:61163373-61164815	8:62427875-62429219	-		-	Methylesterase 3
Zm00001d009399	GRMZM2G476069	8:61305039-61307500	8:62579423-62581864	-		-	Protein NRT1/ PTR FAMILY 6.2
Zm00001d009401	GRMZM2G048611	8:61516605-61524895	8:62822620-62823732	-		-	DNAJ heat shock N-terminal domain-containing protein
Zm00001d009402	GRMZM2G080116	8:61613853-61615071	8:62916759-62917979	-		-	Dynein light chain type 1 family protein
Zm00001d009404	GRMZM2G084727	8:61799963-61802187	8:63104795-63106844	-		-	aspartate-glutamate racemase family
Zm00001d009407	GRMZM2G087081	8:61990787-61993032	8:63278351-63281466	-		-	DUF1230 family protein
Zm00001d009409	GRMZM5G889321	8:62030412-62034357	8:63303336-63307427	-		-	Glycosyltransferase family protein 64 protein C5
Zm00001d009410	GRMZM2G003835	8:62069318-62069638	8:63367804-63369102	-		-	EMB2752
Zm00001d009411	GRMZM2G003875	8:62070100-62074227	8:63369959-63373519	-		-	Phosphoribosylamine--glycine ligase chloroplastic
Zm00001d009413	GRMZM2G387569	8:62170483-62176262	8:63468493-63474399	-		-	DUF1639 family protein
Zm00001d009415	GRMZM2G387602	8:62178825-62179439	8:63476273-63477403	-		-	Arabinogalactan peptide 3
Zm00001d009416	GRMZM2G387603	8:62180023-62181276	8:63478425-63479120	-		-	Jacalin-related lectin 19
Zm00001d009417	GRMZM2G088060	8:62181575-62184577	8:63479440-63482512	-		-	60S ribosomal protein L28-1
Zm00001d009418	GRMZM2G079938	8:62347475-62352171	8:63652267-63661067	-		-	alpha/beta-Hydrolases superfamily protein
Zm00001d009419	GRMZM2G080110	8:62353281-62355418	8:63663711-63664390	-		-	Protein PGR
Zm00001d009421	NA	NA	8:63763964-63765287	-		-	Vesicle transport v-SNARE 12
Zm00001d009423	NA	NA	8:63771442-63772986	-		-	Thioredoxin domain-containing protein PLP3B
Zm00001d009424	GRMZM2G109651	8:62492747-62520417	8:63799335-63826993	-		-	Cyclin/Brf1-like TBP-binding protein
Zm00001d009426	GRMZM2G152436	8:62656683-62661344	8:63979970-63984569	-		-	Mov34/MPN/PAD-1 family protein
Zm00001d009429	GRMZM2G159831	8:62754333-62755233	8:64075116-64075430	-		-	plant/F18B13-26 protein
Zm00001d009430	GRMZM2G168752	8:62783996-62786920	8:64104560-64107561	-		-	Transducin/WD40 repeat-like superfamily protein
Zm00001d009431	GRMZM2G168681	8:62786955-62791232	8:64107616-64111865	 fps1		farnesyl pyrophosphate synthase1	endosperm cDNA sequence; two copies detected; up-regulated in endosperm mutants, o2 and fl2 (Li et al. 1996).
Zm00001d009435	GRMZM2G119693	8:63068162-63069647	8:64426230-64427152	-		MYB-transcription factor 91	Transcription factor MYB86
Zm00001d009436	GRMZM2G119722	8:63072438-63075802	8:64430332-64433696	-		-	DNAJ heat shock N-terminal domain-containing protein
Zm00001d009438	GRMZM2G054689	8:64176829-64179518	8:64583138-64584442	-		ZIM-transcription factor 5	Putative tify domain/CCT motif transcription factor family protein
Zm00001d009439	GRMZM2G355610	8:64169897-64175469	8:64588227-64593921	-		-	Putative CRAL/TRIO domain containing%2C Sec14p-like phosphatidylinositol transfer family protein
Zm00001d009440	GRMZM2G054247	8:64164837-64167645	8:64596135-64598982	-		-	Anaphase-promoting complex subunit 10
Zm00001d009445	GRMZM2G075839	8:64084528-64088627	8:64739709-64743657	-		-	double-stranded DNA-binding family protein
Zm00001d009447	GRMZM2G082385	8:64013204-64019086	8:64820691-64826734	-		-	ABC transporter B family member 9
Zm00001d009448	GRMZM5G843537	8:63934727-63938886	8:64890259-64903252	-		-	ABC transporter B family member 9
Zm00001d009449	GRMZM2G475980	8:63911877-63913187	8:64910815-64912360	-		-	Pentatricopeptide repeat-containing protein  mitochondrial
Zm00001d009450	GRMZM2G177617	8:63908549-63911543	8:64912459-64915463	-		-	Acid phosphatase/vanadium-dependent haloperoxidase protein%3B Acid phosphatase/vanadium-dependent haloperoxidase related
Zm00001d009452	GRMZM2G170760	8:63680971-63689898	8:65141869-65150943	-		-	Putative clathrin assembly protein
Zm00001d009458	GRMZM2G092003	8:63408724-63410196	8:65431691-65432905	-		-	hydroxyproline-rich glycoprotein family protein
Zm00001d009463	NA	NA	8:65727175-65728322	-		-	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Zm00001d009465	NA	NA	8:65746229-65749118	-		-	Probable beta-14-xylosyltransferase IRX10L
Zm00001d009466	NA	NA	8:65751139-65752318	-		-	PHD finger protein ALFIN-LIKE 6
Zm00001d009468	GRMZM2G159592	8:64222278-64223655	8:65782410-65783537	-		AP2-EREBP-transcription factor 49	Putative AP2/EREBP transcription factor superfamily protein
Zm00001d009469	GRMZM2G372985	8:64403683-64406051	8:65967573-65969427	-		-	Protein PLASTID MOVEMENT IMPAIRED 2
Zm00001d009472	NA	NA	8:66130625-66133282	-		-	5'-3' exoribonuclease 3
Zm00001d009473	GRMZM2G456487	8:64571482-64574608	8:66143320-66146867	-		-	Putative WAK receptor-like protein kinase family protein
Zm00001d009475	GRMZM2G171223	8:64691270-64695202	8:66261505-66262884	-		-	DUF1639 family protein
Zm00001d009476	GRMZM2G045818	8:64759364-64762065	8:66327073-66329752	-		-	Probable ribosomal protein S11 mitochondrial
Zm00001d009478	NA	NA	8:66708001-66708900	-		-	BTB/POZ and TAZ domain-containing protein 3
Zm00001d009480	GRMZM2G040477	8:65264847-65267084	8:66824808-66826892	-		receptor for activated C kinase2	Receptor for activated C kinase 1A
Zm00001d009484	NA	NA	8:67033318-67034715	-		-	Indole-3-acetate beta-glucosyltransferase
Zm00001d009487	NA	NA	8:67040741-67041274	-		-	DUF4228 domain protein
Zm00001d009488	GRMZM2G021331	8:65484575-65488309	8:67043287-67046926	 csu849(atpb)		None	zEST00849 Maize Leaf, Stratagene #937005 Zea mays cDNA clone csuh00849 5- end similar to mitochondrial ATP synthase beta subunit, mRNA sequence
Zm00001d009493	GRMZM2G492915	8:65614601-65618160	8:67177148-67180676	-		-	Probable histone chaperone ASF1A
Zm00001d009494	GRMZM5G805874	8:65622669-65624565	8:67185376-67188550	-		-	Putative MATE efflux family protein
Zm00001d009495	GRMZM2G101042	8:65656733-65662011	8:67221503-67222084	-		-	Ribosomal protein L7/L12 oligomerisation;Ribosomal protein L7/L12 C-terminal/adaptor protein ClpS-like
Zm00001d009496	GRMZM2G101042	8:65656733-65662011	8:67222299-67226447	-		-	Rab5-interacting family protein
Zm00001d009497	GRMZM2G477340	8:65803599-65809815	8:67367442-67373571	-		-	CDP-diacylglycerol--serine O-phosphatidyltransferase 1
Zm00001d009500	GRMZM2G013465	8:65988113-65990840	8:67554896-67557110	-		-	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' iota isoform
Zm00001d009503	GRMZM2G314692	8:66170577-66176636	8:67746876-67752942	-		-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Zm00001d009504	GRMZM2G314647	8:66177484-66187089	8:67753774-67762948	-		-	Dynamin protein 1A
Zm00001d009506	GRMZM2G108851	8:66344845-66373626	8:67915226-67917651	-		-	Cytochrome b561 and DOMON domain-containing protein
Zm00001d009508	GRMZM2G156606	8:66503095-66507157	8:68049372-68053321	-		-	DUF1639 family protein
Zm00001d009509	GRMZM6G791392	8:66721288-66722431	8:68252546-68254650	-		-	60S ribosomal protein L37a
Zm00001d009510	NA	NA	8:68255301-68258169	-		-	Eukaryotic aspartyl protease family protein
Zm00001d009512	NA	NA	8:68438316-68444733	-		-	Polyadenylate-binding protein RBP45C
Zm00001d009513	GRMZM2G027546	8:66896381-66903723	8:68444741-68451485	-		-	Probable ubiquitin-conjugating enzyme E2 25
Zm00001d009514	NA	NA	8:68470753-68471912	-		-	Pirin-like protein 2
Zm00001d009515	GRMZM2G559610	8:66959695-66963744	8:68506359-68510424	-		-	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001d009517	GRMZM2G153863	8:67006955-67011699	8:68556381-68564844	-		-	Ribosomal protein L1p/L10e family
Zm00001d009518	NA	NA	8:68629960-68632870	-		-	40S ribosomal protein S4-3
Zm00001d009519	NA	NA	8:68728041-68731091	-		-	Retrovirus-related Pol polyprotein LINE-1
Zm00001d009520	GRMZM2G043764	8:67233891-67245255	8:68802378-68813649	-		-	Ninja-family protein 7
Zm00001d009522	GRMZM2G345039	8:67242630-67250938	8:68814240-68819306	 rph1		RNase PH homolog	endosperm cDNA 5C06F11 similar to E. coli tRNA processing enzyme
Zm00001d009524	GRMZM2G394007	8:67361634-67369115	8:68938921-68946401	-		-	F1F0-ATPase inhibitor protein;  protein
Zm00001d009529	GRMZM2G399338	8:67493326-67496127	8:69086355-69090342	-		-	Transcription factor GTE3 chloroplastic
Zm00001d009530	NA	NA	8:69092687-69093751	-		-	ARM repeat superfamily protein
Zm00001d009532	GRMZM2G573324	8:67598583-67602666	8:69164642-69168927	-		Aux/IAA-transcription factor 36	IAA19-auxin-responsive Aux/IAA family member
Zm00001d009533	NA	NA	8:69244325-69245339	-		-	Endoplasmic reticulum vesicle transporter protein
Zm00001d009538	NA	NA	8:69358258-69358803	-		-	late embryogenesis abundant protein
Zm00001d009539	GRMZM2G103628	8:67807048-67810554	8:69390011-69393490	-		-	Probable beta-14-xylosyltransferase IRX9H
Zm00001d009541	GRMZM2G168654	8:67824266-67846694	8:69395226-69413106	-		-	Golgin candidate 5
Zm00001d009542	NA	NA	8:69433548-69438467	-		-	Golgin candidate 5
Zm00001d009548	GRMZM2G060467	8:68203077-68206277	8:69755640-69758896	-		-	hydroxyproline-rich glycoprotein family protein
Zm00001d009549	GRMZM2G359664	8:68205523-68209423	8:69756897-69762080	-		-	Rop guanine nucleotide exchange factor 9
Zm00001d009552	GRMZM2G015287	8:68444560-68448328	8:70006056-70009786	-		-	Ubiquitin-conjugating enzyme E2 36
Zm00001d009554	GRMZM2G119256	8:68450787-68453575	8:70012280-70015464	 kds1		CMP-KDO synthetase1	author match, gene identification in TIGR contig
Zm00001d009555	GRMZM5G803565	8:68455007-68458404	8:70016455-70019910	-		-	Hydroxyproline-rich glycoprotein family protein
Zm00001d009556	GRMZM2G119316	8:68459004-68461571	8:70020675-70022622	-		-	HSP40/DnaJ peptide-binding protein
Zm00001d009557	GRMZM2G070013	8:68491099-68491997	8:70051211-70051921	-		-	DUF679 domain membrane protein 7
Zm00001d009562	GRMZM2G125294	8:68635067-68646943	8:70193548-70205812	-		Homeobox-transcription factor 29	Putative homeodomain-like transcription factor superfamily protein
Zm00001d009564	GRMZM2G098129	8:68925472-68932648	8:70518976-70526128	-		-	Guanylate-binding family protein
Zm00001d009566	GRMZM2G025240	8:69105613-69106093	8:70661781-70662557	-		-	Fasciclin-like arabinogalactan protein 6
Zm00001d009567	GRMZM2G001514	8:69108351-69110464	8:70664935-70665783	-		-	Fasciclin-like arabinogalactan protein 7
Zm00001d009568	GRMZM2G311898	8:69273806-69274643	8:70849400-70849804	-		-	Glutaredoxin-C9
Zm00001d009569	NA	NA	8:71080370-71081326	-		-	Probable mannan synthase 7
Zm00001d009570	GRMZM2G031827	8:69651989-69660585	8:71232543-71233457	-		C3H-transcription factor 336	Splicing factor U2af subunit isoform 1%3B Splicing factor U2af subunit isoform 2%3B Splicing factor U2af subunit isoform 3%3B Splicing factor U2af subunit isoform 4%3B Splicing factor U2af subunit isoform 5
Zm00001d009571	GRMZM2G124701	8:69709898-69716045	8:71287101-71293262	-		-	C-terminal zinc-finger%3B Putative RING zinc finger domain superfamily protein isoform 1%3B Putative RING zinc finger domain superfamily protein isoform 2
Zm00001d009572	GRMZM2G124758	8:69716264-69718134	8:71293573-71295391	-		-	Ras-related protein RABA1f
Zm00001d009573	GRMZM2G021790	8:69893597-69894451	8:71470305-71471572	-		AP2-EREBP-transcription factor 146	Putative AP2/EREBP transcription factor superfamily protein
Zm00001d009574	NA	NA	8:71473246-71474909	-		-	Gibberellin receptor GID1
Zm00001d009575	NA	NA	8:71474887-71476218	-		-	DNA-directed DNA polymerases
Zm00001d009576	GRMZM2G021865	8:69903208-69907790	8:71476194-71481914	-		-	Anaphase-promoting complex subunit 5
Zm00001d009578	NA	NA	8:71548476-71550482	-		-	Ribosomal protein L18ae family
Zm00001d009579	GRMZM2G113720	8:70026829-70029429	8:71612135-71614100	-		-	60S ribosomal protein L18a
Zm00001d009580	GRMZM2G413652	8:70041131-70044614	8:71626296-71629642	-		-	Urease accessory protein G
Zm00001d009582	GRMZM2G113549	8:70047836-70048549	8:71631871-71632824	-		-	Probable 3-hydroxyisobutyrate dehydrogenase-like 3 mitochondrial
Zm00001d009587	NA	NA	8:71702017-71706338	-		-	Putative MAP kinase family protein
Zm00001d009588	GRMZM5G805351	8:70308383-70309111	8:71890335-71894694	-		-	Pleiotropic drug resistance ABC transporter family protein
Zm00001d009589	GRMZM2G155216	8:70312571-70314733	8:71899226-71900023	-		light harvesting chlorophyll a/b binding protein3	Chlorophyll a-b binding protein M9%2C chloroplastic
Zm00001d009591	GRMZM2G058913	8:70460791-70487475	8:72047547-72074493	-		-	GBF-interacting protein 1
Zm00001d009592	NA	NA	8:72088031-72089828	-		-	Cell division control protein 48 homolog C
Zm00001d009594	GRMZM2G153977	8:70512973-70516141	8:72096954-72103235	-		-	Aspartic proteinase A1
Zm00001d009595	GRMZM2G448605	8:70575003-70578661	8:72169414-72173597	-		WRKY-transcription factor 69	Putative WRKY DNA-binding domain superfamily protein
Zm00001d009596	GRMZM2G158024	8:70795031-70799216	8:72389684-72393869	 era1		E. coli Ras-like protein1	Ortholog of Arabidopsis ERA1. Note that there are two unrelated Arabidopsis genes with this name. Required for cp ribosome accumulation. Putative chloroplast ribosome assembly factor. ERA domain (IPR005662). (A. Barkan, 2015)Ortholog of Arabidopsis ERA1. Required for cp ribosome accumulation. Putative cp ribosome assembly factor. ERA domain (IPR005662).
Zm00001d009597	GRMZM2G158091	8:70799354-70805609	8:72393934-72400704	-		-	FtsJ-like methyltransferase family protein
Zm00001d009599	GRMZM2G158117	8:70808377-70809767	8:72403032-72404407	-		MYB-related-transcription factor 87	Putative homeodomain-like transcription factor superfamily protein%3B SANT/MYB protein
Zm00001d009600	NA	NA	8:72497718-72508337	-		-	Retrovirus-related Pol polyprotein LINE-1
Zm00001d009603	NA	NA	8:72763170-72767943	-		-	Solute carrier family 2%2C facilitated glucose transporter member 8
Zm00001d009604	GRMZM5G887975	8:71168700-71169448	8:72785057-72785843	-		C2C2-GATA-transcription factor 21	GATA transcription factor 19
Zm00001d009605	NA	NA	8:72861164-72868595	-		-	Sugar transporter ERD6-like 6
Zm00001d009608	GRMZM2G393897	8:71308675-71311012	8:72951538-72953055	-		-	3-ketoacyl-CoA synthase
Zm00001d009610	NA	NA	8:72973722-72978340	-		-	Acetamidase/Formamidase family protein
Zm00001d009612	GRMZM2G157153	8:71491031-71492711	8:73133301-73134155	-		-	DUF1645 family protein
Zm00001d009613	GRMZM2G157156	8:71493785-71503078	8:73135977-73145220	-		-	Protease Do-like 1 chloroplastic
Zm00001d009617	GRMZM2G020291	8:71691764-71699452	8:73343604-73351556	-		-	Protein SUPPRESSOR OF PHYA-105 1
Zm00001d009618	GRMZM2G403797	8:71815346-71817424	8:73467308-73468804	 wtf1		what's this factor1	chloroplast group II intron splicing
Zm00001d009619	GRMZM2G063880	8:71900055-71901434	8:73563517-73564793	-		WRKY-transcription factor 106	Putative WRKY DNA-binding domain superfamily protein
Zm00001d009620	NA	NA	8:73565511-73565990	-		-	Probable protein phosphatase 2C 33
Zm00001d009622	GRMZM2G100982	8:71940571-71941451	8:73601361-73602152	-		AP2-EREBP-transcription factor 12	Putative AP2/EREBP transcription factor superfamily protein
Zm00001d009626	GRMZM5G818101	8:72141439-72143820	8:73804434-73806809	 prh9		protein phosphatase homolog9	-
Zm00001d009628	AC234185.1_FG006	8:72172257-72173003	8:73835260-73836112	-		MADS-transcription factor 59	DNA binding protein%3B Putative MADS-box transcription factor family protein
Zm00001d009629	AC234185.1_FG005	8:72182661-72184632	8:73845703-73846137	-		-	F-box domain containing protein expressed
Zm00001d009631	AC234185.1_FG004	8:72263465-72269246	8:73926124-73932511	-		-	CTP synthase family protein
Zm00001d009636	NA	NA	8:73979708-73980561	-		-	Nuclear transcription factor Y subunit B-8
Zm00001d009638	NA	NA	8:73989684-73993106	-		-	Ketol-acid reductoisomerase chloroplastic
Zm00001d009639	NA	NA	8:74042271-74043501	-		-	Phospholipase A1-IIgamma
Zm00001d009640	NA	NA	8:74045695-74049815	-		-	Malate dehydrogenase 2 mitochondrial
Zm00001d009641	NA	NA	8:74062769-74068522	-		-	Anoctamin-like protein
Zm00001d009642	GRMZM2G075784	8:72417894-72420294	8:74127546-74130567	-		-	F-box protein
Zm00001d009645	GRMZM2G075651	8:72450044-72452810	8:74159857-74162455	-		-	Whole genome shotgun sequence of line PN40024 scaffold_8.assembly12x (Fragment)
Zm00001d009646	GRMZM2G023872	8:72494685-72496501	8:74205128-74206555	 scl1		scarecrow-like1	cDNA sequence
Zm00001d009648	GRMZM2G096435	8:72608489-72609397	8:74317968-74318441	-		-	Oleosin Bn-V
Zm00001d009649	GRMZM5G820393	8:72631875-72633857	8:74319439-74349436	-		-	Protein CHUP1 chloroplastic
Zm00001d009650	AC203227.3_FG001	8:72686294-72686874	8:74396288-74397262	-		-	Protein MIZU-KUSSEI 1
Zm00001d009651	GRMZM2G404011	8:72720777-72723554	8:74428604-74430060	-		-	Putative thioredoxin superfamily protein
Zm00001d009652	NA	NA	8:74457985-74460428	 arpp2a-2		acidic ribosomal protein P2a-2	-
Zm00001d009653	NA	NA	8:74612588-74614857	-		acidic ribosomal protein P2a	60S acidic ribosomal protein P2A
Zm00001d009657	GRMZM2G105712	8:73204346-73206734	8:74879413-74913123	-		-	60S acidic ribosomal protein P2-5
Zm00001d009658	GRMZM2G406177	8:73207062-73212834	8:74913546-74918903	-		-	Probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL2
Zm00001d009659	NA	NA	8:74949200-74950484	-		-	Cwf21
Zm00001d009660	GRMZM2G063069	8:73244854-73248581	8:74951345-74955026	-		-	Protein kinase superfamily protein
Zm00001d009666	GRMZM2G001991	8:73364928-73369816	8:75117321-75122209	-		-	NAD(P)-binding Rossmann-fold superfamily protein
Zm00001d009667	GRMZM2G002034	8:73369713-73372535	8:75122095-75124917	-		-	Polygalacturonase QRT2
Zm00001d009668	GRMZM2G397616	8:73412731-73413812	8:75139891-75141593	-		C2C2-GATA-transcription factor 26	GATA transcription factor 19
Zm00001d009669	GRMZM2G097768	8:73418620-73424707	8:75146233-75152432	-		sugar transport1	Sugar transporter ERD6-like 6
Zm00001d009671	NA	NA	8:75375953-75379692	-		-	Potassium transporter 10
Zm00001d009673	GRMZM2G029974	8:73649512-73651586	8:75380764-75381747	-		-	DNA glycosylase superfamily protein
Zm00001d009674	GRMZM2G328438	8:73654879-73656447	8:75385981-75386700	-		ZF-HD-transcription factor 11	Zinc-finger homeodomain protein 5
Zm00001d009676	GRMZM5G842508	8:73678215-73682670	8:75406721-75412753	-		-	serine/threonine protein kinase 3
Zm00001d009677	GRMZM5G851564	8:73768203-73771457	8:75506434-75508428	-		-	Putative pentatricopeptide repeat family protein
Zm00001d009683	GRMZM2G150484	8:74040042-74050277	8:75778090-75788245	-		-	Putative DUF1296 domain containing family protein
Zm00001d009686	GRMZM2G019771	8:74139262-74140892	8:75878549-75880163	-		-	Carbohydrate-binding X8 domain superfamily protein
Zm00001d009687	GRMZM2G141353	8:74178815-74180134	8:75918222-75919097	-		-	Plant basic secretory protein (BSP) family protein
Zm00001d009688	GRMZM2G063144	8:74199846-74207105	8:75938840-75946196	-		-	Putative MAP kinase family protein
Zm00001d009690	NA	NA	8:76114808-76124300	-		-	RNA cytidine acetyltransferase 1
Zm00001d009693	NA	NA	8:76211167-76215916	-		-	Protein REDUCED WALL ACETYLATION 3
Zm00001d009694	NA	NA	8:76220435-76223080	-		-	Receptor like protein kinase S.2
Zm00001d009695	NA	NA	8:76224121-76226394	-		-	RNA-binding (RRM/RBD/RNP motifs) family protein
Zm00001d009698	GRMZM2G414315	8:74420546-74421859	8:76319744-76321343	-		WRKY-transcription factor 20	Putative WRKY DNA-binding domain superfamily protein
Zm00001d009700	GRMZM2G045664	8:74456860-74457773	8:76355207-76355707	-		-	Probable desiccation-related protein LEA14
Zm00001d009702	GRMZM2G128748	8:74525701-74531086	8:76423474-76428876	-		-	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Zm00001d009705	GRMZM2G331393	8:74932577-74935180	8:76823614-76825895	-		-	S-type anion channel SLAH3
Zm00001d009706	NA	NA	8:76879263-76880822	-		-	S-type anion channel SLAH3
Zm00001d009707	GRMZM2G058456	8:75116719-75120448	8:77010835-77013364	-		-	Protein ABIL1
Zm00001d009708	GRMZM2G058305	8:75119745-75123757	8:77013599-77017336	-		-	Putative calcium-dependent protein kinase family protein
Zm00001d009709	GRMZM2G044591	8:75160086-75164067	8:77053963-77055849	-		BEST Arabidopsis thaliana protein match is	loricrin-related (TAIR:AT5G64550.1); Has 3596 Blast hits to 2004 proteins in 150 species: Archae - 0; Bacteria - 54; Metazoa - 1597; Fungi - 38; Plants - 513; Viruses - 9; Other Eukaryotes - 1385 (source:  /.../Link).
Zm00001d009710	GRMZM2G343428	8:75166487-75168813	8:77060226-77062208	-		-	Putative DUF1221-domain containing protein kinase family protein
Zm00001d009714	GRMZM2G162413	8:75503686-75508589	8:77386882-77391860	-		-	Jasmonic acid-amido synthetase JAR1
Zm00001d009715	GRMZM2G162450	8:75508770-75510438	8:77390569-77394258	-		bHLH-transcription factor 22	Putative HLH DNA-binding domain superfamily protein
Zm00001d009716	AC231180.2_FG001	8:75553680-75562635	8:77435891-77440466	-		-	Extra-large G-protein-like;  protein
Zm00001d009717	AC231180.2_FG006	8:75646247-75647874	8:77524892-77526895	-		-	Pectin lyase-like superfamily protein
Zm00001d009719	GRMZM2G158818	8:75837226-75842430	8:77715746-77728401	-		-	Probable protein phosphatase 2C 76
Zm00001d009723	GRMZM5G807767	8:76011360-76016337	8:77904227-77909237	 ptac14		plastid transcriptionally active14	Ortholog of Arabidopsis PTAC14. Associates with Plastid Encoded RNA polymerase (PEP). Required for PEP-mediated transcription. (A. Barkan, 2015)ortholog of Arabidopsis PTAC14, a PEP-associated protein, required for PEP-mediated transcription; cpRNA defects in maize similar to other PEP-deficient mutants
Zm00001d009724	GRMZM5G864412	8:76019677-76024604	8:77913640-77925636	-		-	TPR repeat-containing thioredoxin TTL1
Zm00001d009726	GRMZM2G015692	8:76041012-76047878	8:77933762-77941132	-		-	alpha/beta-Hydrolases superfamily protein
Zm00001d009727	GRMZM2G338696	8:76159866-76162988	8:78048174-78051296	-		-	Cytochrome c oxidase subunit 5b-2 mitochondrial
Zm00001d009728	GRMZM2G338661	8:76164205-76166378	8:78053324-78054686	-		CONTAINS InterPro DOMAIN/s	RuvA domain 2-like (InterPro:IPR010994); Has 29 Blast hits to 29 proteins in 9 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Zm00001d009729	GRMZM2G401721	8:76174431-76265960	8:78101117-78103088	-		-	Paired amphipathic helix protein Sin3-like 5
Zm00001d009731	NA	NA	8:78406103-78411071	-		-	Putative homeodomain-like transcription factor superfamily protein isoform 1%3B Putative homeodomain-like transcription factor superfamily protein isoform 2
Zm00001d009732	AC233854.1_FG002	8:76508874-76510401	8:78413554-78415125	-		-	Protein HYPER-SENSITIVITY-RELATED 4
Zm00001d009733	NA	NA	8:78509895-78519823	-		-	Pentatricopeptide repeat-containing protein  mitochondrial
Zm00001d009734	NA	NA	8:78554635-78556193	-		-	Protein HYPER-SENSITIVITY-RELATED 4
Zm00001d009735	GRMZM2G416201	8:76687823-76690742	8:78597291-78602479	-		-	Pentatricopeptide repeat-containing protein  mitochondrial
Zm00001d009737	NA	NA	8:78662500-78663476	-		-	Tubulin beta-2 chain
Zm00001d009738	NA	NA	8:78664431-78667427	-		-	Tubulin gamma-2 chain
Zm00001d009740	GRMZM2G464401	8:76947968-76951343	8:78864307-78867209	-		-	Plasminogen activator inhibitor 1 RNA-binding protein
Zm00001d009741	AC205012.3_FG002	8:76950907-76952642	8:78866446-78869538	-		-	Phosphatidylinositol 4-kinase gamma 3
Zm00001d009743	GRMZM2G017821	8:77106424-77108655	8:79019679-79021421	-		-	Pentatricopeptide repeat-containing protein
Zm00001d009745	GRMZM2G128981	8:77264092-77265864	8:79159645-79185286	-		-	DNA damage-binding protein 1a
